app_id,category_short,category_long
kr.co.kba,House & Home,/store/apps/category/HOUSE_AND_HOME
com.house730.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.har.androidapp,House & Home,/store/apps/category/HOUSE_AND_HOME
com.tweglobal.ar19crimes,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.starbucks.tr,Food & Drink,/store/apps/category/FOOD_AND_DRINK
air.com.vinipad.android,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.tropicalsmoothie.tropicalsmoothiecafe.android.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.zack.shop,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.mad.cbl,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.guru.cocktails,Food & Drink,/store/apps/category/FOOD_AND_DRINK
au.com.bws,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.meowstudios.coffeejuicesoda1,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.ionicframework.gbgionic299560,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.gogoalsoft.pacificcoffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.youngsontap,Food & Drink,/store/apps/category/FOOD_AND_DRINK
org.contentarcade.apps.milkShake,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.hamidiyeapp,Food & Drink,/store/apps/category/FOOD_AND_DRINK
org.contentarcade.apps.coffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.endless.smoothierecipes,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.project.kiranchavan.detoxfree,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.kahvedunyasi.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.kiransmoothie.kiranchavan.juicerecipe,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.bicaysoyle,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.mbreviews.com,Entertainment,/store/apps/category/ENTERTAINMENT
com.home.entertainment.gossip,Entertainment,/store/apps/category/ENTERTAINMENT
com.cllive,Entertainment,/store/apps/category/ENTERTAINMENT
rthk.mine,Entertainment,/store/apps/category/ENTERTAINMENT
com.halooglasi,House & Home,/store/apps/category/HOUSE_AND_HOME
com.kbstar.kbland,House & Home,/store/apps/category/HOUSE_AND_HOME
com.activebuilding.residents,House & Home,/store/apps/category/HOUSE_AND_HOME
com.homes.homesdotcom,House & Home,/store/apps/category/HOUSE_AND_HOME
able.bukken.search,House & Home,/store/apps/category/HOUSE_AND_HOME
com.zibnawaapp.zibnawa,House & Home,/store/apps/category/HOUSE_AND_HOME
jp.co.athome,House & Home,/store/apps/category/HOUSE_AND_HOME
cz.ulikeit.reality,House & Home,/store/apps/category/HOUSE_AND_HOME
ch.immoscout24.ImmoScout24,House & Home,/store/apps/category/HOUSE_AND_HOME
com.move.rentals,House & Home,/store/apps/category/HOUSE_AND_HOME
com.auctionmsg.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.rumah123,House & Home,/store/apps/category/HOUSE_AND_HOME
gr.spitogatos.android,House & Home,/store/apps/category/HOUSE_AND_HOME
se.hemnet.android,House & Home,/store/apps/category/HOUSE_AND_HOME
